Primary_Name,Primary_Location,Alt_primary_Names,Original_Name,Pleiades,Region ,Pliny?,X,Y,Z,Geog_certainty,Dependent_upon,Replaced,Replaced_By,Speed_of_Replace,Port_Name,Port_Cert,Attrib_People1,Attrib_People2,Attrib_People3,Prev_People,Prev_Occ ,Occ_Date_U,Occ_Date_L,Occ_Date_Cert,Multi_Location,Multi_Loc_Cert,ML_Date_U,ML_Date_L,ML_Date_Cert,Disp_Sett_U,Disp_Sett_L,Incompl_Urb,Intense_Urb_U ,Intense_Urb_L ,Aband_Date_U,Aband_Date_L,Necrop_Only,Permanent,Destroyed,Destr_Date_U,Destr_Date_L,Post_Urban,GF_Status,Boundary_Known,SA_O,SA_O_EP,SO_O_Cert,SA_O_AL,SA_O_AU,SA_N,SA_N_EP,SA_N_Cert,SA_N_AL,SA_N_AU,SA_Expansion,SA_Exp_Date_U,SA_Exp_Date_L,SA_Exp_Date_Cert,SA_Reduction,SA_Red_Date_U,SA_Red_Date_L,SA_Red_Date_Cert,Defensible_Top,Fort_Survival,Mult_Circuits ,Fort_O_Date_U,Fort_O_Date_L,Fort_O_Date_Cert,Fort_O_Alt_U,Fort_O_Alt_L,Fort_R1_Date_U,Fort_R1_Date_L,Fort_R1_Date_Cert,Fort_R1_Alt_U,Fort_R1_Alt_L,Fort_R2_Date_U,Fort_R2_Date_L,Fort_R2_Date_Cert,Fort_R2_Alt_U,Fort_R2_Alt_L,Fort_R3_Date_U,Fort_R3_Date_L,Fort_R3_Date_Cert,Fort_R3+,Regular_Plan,RP_Date_U,RP_Date_L,RP_Date_Cert,New_Plan,NP_Date_U,NP_Date_L,NP_Date_Cert,Forum_Agora,Assembly_Place,Temple,Theatre,Amphitheatre,Basilica,Bath,Roman_Subj_Date_U,Roman_Subj_Date_L,Col_Type,Colony_Date_U,Colony_Date_L,Legal_Status1,Leg_St1_Date_U,Leg_St1_Date_L,Legal_Status2,Leg_St2_Date_U,Leg_St2_Date_L,Legal_Status3,Leg_St3_Date_U,Leg_St3_Date_L,ROADS,
Abella ,Avella,"Clanium, Klanion",Y,Y,1,Y,14.608472,40.961516,236,certain,-,-,-,-,-,-,Samnite,-,-,Greek,-,-800,500,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PGF,interpreted,25,P,Medium,25,40,-,-,-,-,-,-,-,-,-,-,-,-,-,no,Confirmed,-,-,-,-,-,-,-150,-100,Unconfirmed,-,-,-,-,-,-,-,-,-,-,-,confirmed,-125,-100,High,-,-,-,-,Forum suspected,-,-,Theatre undated,Amphi 1stc BC,Bas undated,-,-343,-290,-,-,-,F,-290,-90,C,-90,999,M,-90,14,ON,
Abellinum,"Avellino, nr. Atripalda",,Y,Y,1,Y,14.8309111,40.922125,313,certain,-,-,-,-,-,-,SamHirp,-,-,-,-,-300,500,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PGF,very clear,24.5,E,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,slight elevation,Sections visible,-,-300,-200,Unconfirmed,-,-,-100,-27,Medium,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,Forum suspected,-,-,Theatre undated,Amphi 1stc BC,Bas undated,Bath 2ndc BC,-343,-290,-,-,-,C,-27,14,-,-,-,-,-,-,ON,
Acerrae,Acerra,,Y,Y,1,Y,14.371233,40.946092,30,certain,-,-,-,-,-,-,Campanian,-,-,-,A ,-300,500,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,partial,19,P,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,Confirmed,-,-300,-250,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,confirmed,-300,-250,High,-,-,-,-,Forum suspected,-,-,Theatre 1stc BC,-,-,-,-343,-290,-,-,-,CSS,-332,-332,C,-27,14,-,-,-,ON,
Aceruntia ,Acerenza,"Acheruntia, Acerentia",Y,Y,2,N,15.9405667,40.796975,833,certain,-,-,-,-,-,-,Unknown,-,-,-,-,-600,500,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,Forum suspected,-,-,-,-,-,Bath Susp,-326,-272,-,-,-,C,-90,-27,-,-,-,-,-,-,FAR,
Aecae,Troia,,Y,Y,2,Y,15.308894,41.361189,439,certain,-,-,-,-,-,-,Daunian,-,-,-,-,-600,500,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,Forum suspected,-,-,-,-,-,-,-326,-272,-,-,-,MP,-272,14,C,138,192,-,-,-,ON,
Aeclanum,Mirabella Eclano,,Y,Y,2,Y,15.010364,41.054064,431,certain,-,-,-,-,-,-,SamHirp,-,-,-,-,-350,500,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,very clear,18,P,Unconfirmed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,slight elevation,Complete,-,-400,-89,High,-,-,-50,100,Medium,-,-,-,-,-,-,-,-,-,-,-,not planned,-,-,-,-,-,-,-,Forum undated,-,-,Theatre 1stc BC,Amphi 1stc BC,-,Bath 2ndc AD,-343,-290,-,-,-,M ,-90,-89,C,120,120,-,-,-,ON,
Aefula,Monte Sant'Angelo,,Y,Y,1,Y,12.821808,41.929827,598,certain,-,-,-,-,-,-,Aequian,Sabine,-,-,-,-800,0,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,partial,7.8,E,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,Temple undated,-,-,-,-,-493,-338,-,-,-,-,-,-,-,-,-,-,-,-,FAR,
Aequana,Vico Equense,,Y,Y,1,N,14.426381,40.662354,100,certain,-,-,-,-,Aequana,Good evidence,Samnite,-,-,Etruscan,-,-625,100,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-343,-290,-,-,-,-,-,-,-,-,-,-,-,-,ON,
Aequum Tuticum,Sant'Eleuterio,"Equus Tuticus, Equotuticus",Y,Y,2,N,15.0985028,41.2422778,568,certain,-,-,-,-,-,-,SamHirp,-,-,-,-,-350,350,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Low,0,300,Low,slight elevation,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,Bath 2ndc AD,-343,-290,-,-,-,HV,-290,999,-,-,-,-,-,-,ON,
Aesernia,Isernia,,Y,Y,4,Y,14.230823,41.594348,442,certain,-,-,-,-,-,-,Roman ,-,-,SamPen,-,-263,500,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,partial,10,P,Low,-,-,20,P,Unconfirmed,-,-,Low,-27,14,Medium,-,-,-,-,elevation,Sections visible,-,-263,-225,Unconfirmed,-,-,-95,-85,Unconfirmed,-,-,-,-,-,-,-,-,-,-,-,confirmed,-263,-250,Medium,-,-,-,-,Forum suspected,-,Temple 3rdc BC,Theatre Susp,-,-,-,-343,-290,LC,-263,-263,M,-290,14,-,-,-,-,-,-,ON,
